,moderator,id_request,request_time,start_time,finish_time,team,before_1_resp_min,solve_prblm_min,total_requests_by_mod,hour_of_day,date
296,180,164066,2020-10-01 21:34:09,2020-10-01 21:39:07,2020-10-01 21:42:01,wholesale,4.967,2.9,1349,21,2020-10-01
539,180,164604,2020-10-02 22:19:33,2020-10-02 22:39:56,2020-10-02 22:40:56,wholesale,20.383,1.0,1349,22,2020-10-02
1281,180,166062,2020-10-06 19:42:13,2020-10-06 19:47:50,2020-10-06 19:51:34,wholesale,5.617,3.733,1349,19,2020-10-06
1286,180,166069,2020-10-06 20:30:21,2020-10-06 20:38:34,2020-10-06 20:41:58,wholesale,8.217,3.4,1349,20,2020-10-06
2869,180,169098,2020-10-13 17:35:38,2020-10-13 18:01:51,2020-10-13 18:03:30,wholesale,26.217,1.65,1349,17,2020-10-13
2870,180,169100,2020-10-13 17:46:34,2020-10-13 18:03:30,2020-10-13 18:07:50,wholesale,16.933,4.333,1349,17,2020-10-13
3756,180,170709,2020-10-17 18:15:09,2020-10-17 19:01:41,2020-10-17 19:02:55,wholesale,46.533,1.233,1349,18,2020-10-17
3764,180,170720,2020-10-17 19:30:11,2020-10-17 19:55:14,2020-10-17 19:57:09,wholesale,25.05,1.917,1349,19,2020-10-17
3770,180,170727,2020-10-17 19:57:12,2020-10-17 20:02:03,2020-10-17 20:05:05,wholesale,4.85,3.033,1349,19,2020-10-17
3771,180,170728,2020-10-17 20:02:58,2020-10-17 20:09:46,2020-10-17 20:12:01,wholesale,6.8,2.25,1349,20,2020-10-17
3772,180,170729,2020-10-17 20:08:38,2020-10-17 20:12:01,2020-10-17 20:12:51,wholesale,3.383,0.833,1349,20,2020-10-17
5164,180,176398,2020-10-30 19:19:40,2020-10-30 19:22:17,2020-10-30 19:23:06,wholesale,2.617,0.817,1349,19,2020-10-30
6233,180,178437,2020-11-06 22:02:43,2020-11-06 22:33:32,2020-11-06 22:38:09,wholesale,30.817,4.617,1349,22,2020-11-06
6956,180,179785,2020-11-11 18:43:14,2020-11-11 18:52:15,2020-11-11 18:58:39,wholesale,9.017,6.4,1349,18,2020-11-11
7488,180,180825,2020-11-14 19:23:55,2020-11-14 19:33:41,2020-11-14 19:38:30,wholesale,9.767,4.817,1349,19,2020-11-14
7721,180,181217,2020-11-15 19:13:52,2020-11-15 19:41:29,2020-11-15 19:42:53,wholesale,27.617,1.4,1349,19,2020-11-15
8208,180,182010,2020-11-18 13:10:02,2020-11-18 16:04:26,2020-11-18 16:04:42,wholesale,174.4,0.267,1349,13,2020-11-18
8216,180,182021,2020-11-18 13:42:17,2020-11-18 16:04:44,2020-11-18 16:05:35,wholesale,142.45,0.85,1349,13,2020-11-18
